,name,product,kind,date,month,represent,region
636, 에스피시스템스,특수 목적용 기계 제조업,산업용 갠트리 로봇,2019-08-14,12월,심상균..,경상남도
637, 레이,의료용 기기 제조업,"디지털 치료솔루션(CT scan 장비, 3D 프린터), 디지털 진단시스템(X-ray, CT 등)",2019-08-08,12월,이상철,경기도
638, 그린플러스,1차 비철금속 제조업,"첨단유리온실, 온실용자재설치공사, 알루미늄 압출/가공제품",2019-08-07,12월,박영환..,충청남도
639, 코윈테크,특수 목적용 기계 제조업,"공정자동화설비(2차전지,석유화학,반도체,디스플레이)",2019-08-05,12월,정갑용..,충청남도
640, 덕산테코피아,기타 화학제품 제조업,"OLED 소재, 반도체 소재",2019-08-02,12월,이수완,충청남도
641, KBG,합성고무 및 플라스틱 물질 제조업,"실리콘 소재(실란 모노머, 실리콘 레진&폴리머, 실리콘 융합소재)",2019-08-01,12월,부삼열,충청남도
642, 엑스페릭스,전자부품 제조업,"지문인식 등록, 인증 기기 및 솔루션",2019-08-01,12월,윤상철,경기도
643, 세경하이테크,전자부품 제조업,DECO Film 및 기타 TAPE 제조,2019-07-30,12월,이기승,경기도
644, 캐리,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",태양광 인버터 등,2019-07-25,12월,염현복,경기도
645, 대모,특수 목적용 기계 제조업,"유압브레이커, 특수장비/부품, 퀵커플러 등",2019-07-24,12월,이원해,경기도
646, 에이스토리,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송프로그램 제작,2019-07-19,12월,이상백,서울특별시
647, 플리토,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",언어 데이터 구축 및 판매,2019-07-17,12월,이정수,서울특별시
648, 헥토파이낸셜,기타 정보 서비스업,"가상계좌중계, 간편현금결제",2019-07-12,12월,최종원,서울특별시
649, 아이스크림에듀,"서적, 잡지 및 기타 인쇄물 출판업",아이스크림홈런,2019-07-11,12월,이윤석,서울특별시
650, 펨토바이오메드,의료용 기기 제조업,CellShot 플랫폼 / CellShot 기반 항암백신치료 제품군 / CellShot 기반 자가면역질환치료 제품군 / CellShot 기반 바이오의약품 생산세포주 제품군,2019-07-10,12월,이상현..,경기도
651, 펌텍코리아,플라스틱제품 제조업,화장품 용기,2019-07-04,12월,이재신..,인천광역시
652, 에이에프더블류,일차전지 및 이차전지 제조업,음극마찰용접단자,2019-07-01,12월,김명훈,경상북도
653, 태성,특수 목적용 기계 제조업,기업인수 및 합병,2019-06-24,12월,김종학,경기도
654, 엠에프엠코리아,편조의복 제조업,"남성,여성,남아,여아용 면의류",2019-06-19,12월,김병관,서울특별시
655, 압타바이오,자연과학 및 공학 연구개발업,"용역매출, 유전자전달체, 압타머연구용시약",2019-06-12,12월,이수진,경기도
656, 까스텔바작,"섬유, 의복, 신발 및 가죽제품 소매업",골프의류 및 골프잡화,2019-06-10,12월,최준호,인천광역시
657, 마이크로디지탈,의료용 기기 제조업,"바이오 분석 시스템, 메디칼 자동화 시스템",2019-06-05,12월,김경남,경기도
658, 코퍼스코리아,"영화, 비디오물, 방송프로그램 제작 및 배급업",콘텐츠 배급 및 제작,2019-05-31,12월,오영섭,서울특별시
659, 프로이천,반도체 제조업,합병,2019-05-31,12월,임이빈,경기도
660, 포스코퓨처엠,일차전지 및 이차전지 제조업,"내화물, 생석회, 음극재 및 양극재",2019-05-29,12월,유병옥,경상북도
661, 수젠텍,의료용품 및 기타 의약 관련제품 제조업,체외진단 기기 및 시약,2019-05-28,12월,손미진,대전광역시
662, 컴퍼니케이,기타 금융업,중소 벤처기업 투자,2019-05-23,12월,김학범,서울특별시
663, 피에스케이,특수 목적용 기계 제조업,"드라이스트립, 드라이클리닝",2019-05-10,12월,이경일,경기도
664, 현대무벡스,일반 목적용 기계 제조업,"물류자동화, IT서비스",2019-05-08,12월,도익한,서울특별시
665, TS트릴리온,기타 화학제품 제조업,기업인수합병,2019-04-29,12월,김용채,서울특별시
666, 이노벡스,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","2차전지활성화공정장비, TAS(지하철터널내영상광고장치), WING TV(회전식 LED바를 이용한 영상광고장치)",2019-04-12,12월,채균,경기도
667, 아모그린텍,전자부품 제조업,비정질 및 나노결정립을 이용한 자성부품 및 전류센서,2019-03-29,12월,양성철..,경기도
668, 현대오토에버,소프트웨어 개발 및 공급업,"전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업",2019-03-28,12월,김윤구,서울특별시
669, 지노믹트리,자연과학 및 공학 연구개발업,암 조기진단 제품,2019-03-27,12월,안성환,대전광역시
670, 이지케어텍,소프트웨어 개발 및 공급업,의료정보시스템,2019-03-22,03월,위원량,서울특별시
671, 미래에셋벤처투자,기타 금융업,중소기업 창업투자 관련 고유계정/투자조합 관련 수익,2019-03-15,12월,김응석,경기도
672, 드림텍,전자부품 제조업,"모바일 PBA, 지문인식 모듈, 전장 LED 모듈 등",2019-03-14,12월,김형민..,경기도
