,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat
32,MA010120220800039994,통다리치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110600,가회동,1111014700,재동,1111014700100460001,1,대지,46,1,서울특별시 종로구 재동 46-1,111104100110,서울특별시 종로구 북촌로4길,12,,1111014700100460001018114,,서울특별시 종로구 북촌로4길 12,110260,03059,,2,,126.985903189178,37.5791080113232
33,MA010120220800040958,노랑통닭,,I2,음식,I210,기타 간이,I21006,치킨,I56219,기타 주점업,11,서울특별시,11110,종로구,11110650,혜화동,1111016900,혜화동,1111016900101440000,1,대지,144,,서울특별시 종로구 혜화동 144,111104100416,서울특별시 종로구 창경궁로34길,15,,1111016900101460000008584,,서울특별시 종로구 창경궁로34길 15,110530,03077,,1,,127.001162872661,37.5843199907513
34,MA010120220800041117,스파이스치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111013700,낙원동,1111013700101410000,1,대지,141,,서울특별시 종로구 낙원동 141,111103005006,서울특별시 종로구 수표로,120,,1111013700101410000016763,내인빌딩,서울특별시 종로구 수표로 120,110320,03139,,1,,126.989181228339,37.5719548314296
35,MA010120220800041549,신사치킨호프,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110650,혜화동,1111017100,명륜2가,1111017100102160002,1,대지,216,2,서울특별시 종로구 명륜2가 216-2,111103100008,서울특별시 종로구 성균관로,15,2,1111017100102160002008145,,서울특별시 종로구 성균관로 15-2,110530,03073,,1,,126.997406834748,37.5840989286333
36,MA010120220800042086,오븐에꾸운닭,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,27,대구광역시,27260,수성구,27260561,만촌3동,2726010200,만촌동,2726010200108530007,1,대지,853,7,대구광역시 수성구 만촌동 853-7,272604238076,대구광역시 수성구 달구벌대로526안길,21,,2726010200108530007000001,,대구광역시 수성구 달구벌대로526안길 21,706808,42068,,1,,128.649913881055,35.8562264969284
37,MA010120220800042624,처갓집양념치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,26,부산광역시,26110,중구,26110560,부평동,2611012600,부평동4가,2611012600100170015,1,대지,17,15,부산광역시 중구 부평동4가 17-15,261104175286,부산광역시 중구 흑교로21번길,20,,2611012600100170015000001,,부산광역시 중구 흑교로21번길 20,600074,48974,,1,,129.023061356934,35.1016061052994
38,MA010120220800042851,썬더치킨도봉,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11320,도봉구,11320690,방학1동,1132010600,방학동,1132010600107190003,1,대지,719,3,서울특별시 도봉구 방학동 719-3,113204127151,서울특별시 도봉구 도봉로152길,26,,1132010600107190003004278,렉시온프라자,서울특별시 도봉구 도봉로152길 26,132854,01332,,,,127.045253557448,37.6692201570513
39,MA010120220800042865,쌍둥이네옛날통닭,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,31,울산광역시,31110,중구,31110510,학성동,3111010100,학성동,3111010100104320006,1,대지,432,6,울산광역시 중구 학성동 432-6,311103169022,울산광역시 중구 학산로,26,,3111010100104320006006504,,울산광역시 중구 학산로 26,681822,44518,,,,129.33007087006,35.5574887478539
40,MA010120220800042880,올리버비어,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,41,경기도,41210,광명시,41210640,소하1동,4121010400,소하동,4121010400113240000,1,대지,1324,,경기도 광명시 소하동 1324,412103187036,경기도 광명시 소하로,161,,4121010400104620001015935,휴먼시아6단지아파트,경기도 광명시 소하로 161,423792,14320,,1,,126.888686004677,37.4471310801231
41,MA010120220800043291,청춘닭갈비,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,47,경상북도,47280,문경시,47280250,문경읍,4728025022,문경읍,4728025022103630003,1,대지,363,3,경상북도 문경시 문경읍 하리 363-3,472804736508,경상북도 문경시 문경읍 온천4길,7,,4728025022103630003000001,,경상북도 문경시 문경읍 온천4길 7,745804,36917,,,,128.110135313934,36.7318794764228
42,MA010120220800043343,처갓집양념치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,51,강원특별자치도,51130,원주시,51130660,무실동,5113011500,무실동,5113011500117210006,1,대지,1721,6,강원특별자치도 원주시 무실동 1721-6,511303219035,강원특별자치도 원주시 시청로,11,,4213011500117210006000001,채움플러스무실1차,강원특별자치도 원주시 시청로 11,220150,26383,,,,127.922156617628,37.3410528619692
43,MA010120220800044197,대주,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,30,대전광역시,30110,동구,30110560,용운동,3011010900,용운동,3011010900101800011,1,대지,180,11,대전광역시 동구 용운동 180-11,301104292432,대전광역시 동구 용운로151번길,66,,3011010900101800011022997,,대전광역시 동구 용운로151번길 66,300820,34524,,1,,127.460688141493,36.3306546789447
44,MA010120220800044378,닭깡,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43112,청주시 서원구,43112590,성화.개신.죽림동,4311210900,개신동,4311210900106290000,1,대지,629,,충청북도 청주시 서원구 개신동 629,431123237008,충청북도 청주시 서원구 경신로,36,,4311311100106290000023967,한양태권도,충청북도 청주시 서원구 경신로 36,362805,28611,,1,,127.446198915396,36.6205511449759
45,MA010120220800044940,다가치통닭,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,31,울산광역시,31140,남구,31140595,무거동,3114010100,무거동,3114010100115360001,1,대지,1536,1,울산광역시 남구 무거동 1536-1,311404310114,울산광역시 남구 대학로147번길,61,,3114010100115360001032460,,울산광역시 남구 대학로147번길 61,680812,44601,,1,,129.258867926673,35.5521784033629
46,MA010120220800046309,지코바양념치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,26,부산광역시,26530,사상구,26530610,덕포2동,2653010300,덕포동,2653010300107660005,1,대지,766,5,부산광역시 사상구 덕포동 766-5,265303139007,부산광역시 사상구 덕상로,57,,2653010300107660005025059,,부산광역시 사상구 덕상로 57,617810,46939,,,,128.989681220056,35.176573320269
