,name,code,product,kind,date,month,represent,region
1811, 웨스트라이즈,064090,상품 종합 도매업,"Jayjun, Nerdy 외",2002-12-17,12월,정집훈,서울특별시
1812, 쎌바이오텍,049960,기초 의약물질 제조업,유산균 원말 및 완제품,2002-12-13,12월,정명준,경기도
1813, NE능률,053290,"서적, 잡지 및 기타 인쇄물 출판업",영어학습교재,2002-12-10,12월,주민홍,서울특별시
1814, 테크엘,064520,반도체 제조업,"메모리 카드, 스마트 카드 등",2002-12-04,12월,김재창,경기도
1815, 현대백화점,069960,종합 소매업,백화점,2002-11-25,12월,정지선..,서울특별시
1816, KG이니시스,035600,소프트웨어 개발 및 공급업,전자지불서비스,2002-11-22,12월,이선재,서울특별시
1817, 비엘팜텍,065170,음·식료품 및 담배 도매업,건강보조식품 등,2002-11-19,12월,박영철,경기도
1818, 대호에이엘,069460,1차 비철금속 제조업,"알루미늄 환절판 제조,도매,무역",2002-11-11,12월,지대현,대구광역시
1819, 대웅제약,069620,의약품 제조업,"양약,의료기기 제조/화장품,의약부의품 도소매/부동산 임대",2002-11-01,12월,이창재..,경기도
1820, 플래스크,041590,실내건축 및 건축마무리 공사업,"실내건축, 에너지저장시스템",2002-11-01,12월,이병재..,서울특별시
1821, 마니커,027740,"도축, 육류 가공 및 저장 처리업","닭고기,햄,계육가공제품,계육,육가공제품 제조,판매,유통/양계관련사업/부동산임대/수출입대행",2002-10-29,12월,안정원,경기도
1822, SNT홀딩스,036530,기타 금융업,"지배,경영지도,정리,육성",2002-10-22,12월,김도환,서울특별시
1823, 티케이지휴켐스,069260,기타 화학제품 제조업,"화합물,화학제품 제조",2002-10-07,12월,김우찬,서울특별시
1824, 새로닉스,042600,전자부품 제조업,"광학시트, FFC",2002-10-01,12월,박시환,경상북도
1825, 에스제이지세종,033530,자동차 신품 부품 제조업,"자동차부품,자동차소음기(머플러),배기가스정화기,배기계통부품 제조",2002-09-25,12월,최정연..,울산광역시
1826, 오리엔트정공,065500,자동차 신품 부품 제조업,"하우징, 리테이너베어링",2002-09-19,12월,장재진..,경상북도
1827, DGP,060900,전기업,풍력 및 태양광 발전업,2002-09-17,12월,오경원,전라남도
1828, 국보디자인,066620,실내건축 및 건축마무리 공사업,인테리어디자인,2002-09-05,12월,황창연..,서울특별시
1829, 아이톡시,052770,기타 전문 도매업,게임,2002-08-22,12월,전봉규,서울특별시
1830, 에스아이리소스,065420,기타 화학제품 제조업,유연탄,2002-08-22,12월,Ten..,서울특별시
